File,LipidClass,LipidSpecies,Adduct,Label,CCS
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:5,[M+H],light,271.59
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 32:5,[M+H],heavy,270.77
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 33:1,[M+H],light,287.1
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 33:1,[M+Na],light,288.32
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 33:1,[M+H],heavy,286.28
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 33:1,[M+Na],heavy,289.16
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 33:2,[M+H],light,282.45
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 33:2,[M+H],heavy,283.55
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 33:2,[M+Na],heavy,286.98
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 33:3,[M+H],light,280.27
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 33:3,[M+H],heavy,281.1
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 33:3,[M+Na],heavy,283.43
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 33:4,[M+H],light,275.88
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 33:4,[M+Na],light,278.21
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 33:4,[M+H],heavy,277.27
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 33:4,[M+Na],heavy,278.23
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 33:5,[M+H],light,275.62
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 33:5,[M+H],heavy,273.16
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 34:1,[M+H],light,288.37
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 34:1,[M+H],heavy,290.57
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 34:1,[M+Na],heavy,293.17
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,PC,PC 34:2,[M+H],light,286.47
